HGNC ID	Approved Symbol	Approved Name	Status	Synonyms	Entrez Gene ID(supplied by NCBI)	UniProt ID(supplied by UniProt)
HGNC:25662	AAGAB	alpha- and gamma-adaptin binding protein	Approved	FLJ11506, p34	79719	Q6PD74
HGNC:19679	AAK1	AP2 associated kinase 1	Approved	KIAA1048, DKFZp686K16132	22848	Q2M2I8
HGNC:30205	AAMDC	adipogenesis associated Mth938 domain containing	Approved	PTD015, FLJ21035, CK067	28971	Q9H7C9
HGNC:18	AAMP	angio associated migratory cell protein	Approved		14	Q13685
HGNC:19	AANAT	aralkylamine N-acetyltransferase	Approved	SNAT	15	Q16613
HGNC:15886	AAR2	AAR2 splicing factor homolog	Approved	bA234K24.2	25980	Q9Y312
HGNC:33842	AARD	alanine and arginine rich domain containing protein	Approved	LOC441376	441376	Q4LEZ3
HGNC:20	AARS	alanyl-tRNA synthetase	Approved	CMT2N	16	P49588
HGNC:21022	AARS2	alanyl-tRNA synthetase 2, mitochondrial	Approved	KIAA1270, bA444E17.1	57505	Q5JTZ9
HGNC:28417	AARSD1	alanyl-tRNA synthetase domain containing 1	Approved	MGC2744	80755	Q9BTE6
HGNC:49894	AARSP1	alanyl-tRNA synthetase pseudogene 1	Approved		106480683	
HGNC:23993	AASDH	aminoadipate-semialdehyde dehydrogenase	Approved	NRPS998, LYS2, ACSF4	132949	Q4L235
HGNC:14235	AASDHPPT	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	Approved	LYS5, CGI-80, AASD-PPT, ACPS	60496	Q9NRN7
HGNC:17366	AASS	aminoadipate-semialdehyde synthase	Approved	LORSDH, LKRSDH	10157	Q9UDR5
HGNC:51526	AATBC	apoptosis associated transcript in bladder cancer	Approved		284837	
HGNC:19235	AATF	apoptosis antagonizing transcription factor	Approved	DED, CHE-1, CHE1, BFR2	26574	Q9NY61
HGNC:21	AATK	apoptosis associated tyrosine kinase	Approved	AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77	9625	Q6ZMQ8
HGNC:40053	AATK-AS1	AATK antisense RNA 1	Approved		388428	
HGNC:22	AAVS1	adeno-associated virus integration site 1	Approved	AAV	17	
HGNC:11	AA~withdrawn	symbol withdrawn, see TEAD1	Symbol Withdrawn			
HGNC:49667	ABALON	apoptotic BCL2L1-antisense long non-coding RNA	Approved	INXS	103021294	
HGNC:23	ABAT	4-aminobutyrate aminotransferase	Approved	GABAT	18	P80404
HGNC:24	ABC1~withdrawn	symbol withdrawn, see ABCA1	Symbol Withdrawn			
HGNC:25	ABC2~withdrawn	symbol withdrawn, see ABCA2	Symbol Withdrawn			
HGNC:26	ABC3~withdrawn	symbol withdrawn, see ABCA3	Symbol Withdrawn			
HGNC:28	ABC7~withdrawn	symbol withdrawn, see ABCB7	Symbol Withdrawn			
HGNC:27	ABC50~withdrawn	symbol withdrawn, see ABCF1	Symbol Withdrawn			
HGNC:29	ABCA1	ATP binding cassette subfamily A member 1	Approved	TGD	19	O95477
HGNC:32	ABCA2	ATP binding cassette subfamily A member 2	Approved		20	Q9BZC7
HGNC:33	ABCA3	ATP binding cassette subfamily A member 3	Approved	ABC-C, EST111653, LBM180	21	Q99758
HGNC:34	ABCA4	ATP binding cassette subfamily A member 4	Approved	FFM, ARMD2, CORD3	24	P78363
HGNC:35	ABCA5	ATP binding cassette subfamily A member 5	Approved	EST90625	23461	Q8WWZ7
HGNC:36	ABCA6	ATP binding cassette subfamily A member 6	Approved	EST155051	23460	Q8N139
HGNC:37	ABCA7	ATP binding cassette subfamily A member 7	Approved	ABCX	10347	Q8IZY2
HGNC:38	ABCA8	ATP binding cassette subfamily A member 8	Approved	KIAA0822	10351	O94911
HGNC:39	ABCA9	ATP binding cassette subfamily A member 9	Approved	EST640918	10350	Q8IUA7
HGNC:39983	ABCA9-AS1	ABCA9 antisense RNA 1	Approved		104355297	
HGNC:30	ABCA10	ATP binding cassette subfamily A member 10	Approved	EST698739	10349	Q8WWZ4
HGNC:31	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	Approved	EST1133530, FLJ14297	79963	Q4W5N1
HGNC:14637	ABCA12	ATP binding cassette subfamily A member 12	Approved	DKFZP434G232, LI2	26154	Q86UK0
HGNC:14638	ABCA13	ATP binding cassette subfamily A member 13	Approved	FLJ33876, FLJ33951	154664	Q86UQ4
HGNC:32972	ABCA17P	ATP binding cassette subfamily A member 17, pseudogene	Approved		650655	
HGNC:40	ABCB1	ATP binding cassette subfamily B member 1	Approved	P-gp, CD243, GP170, ABC20	5243	P08183
HGNC:11563	ABCB2~withdrawn	symbol withdrawn, see TAP1	Symbol Withdrawn			
HGNC:11564	ABCB3~withdrawn	symbol withdrawn, see TAP2	Symbol Withdrawn			
HGNC:45	ABCB4	ATP binding cassette subfamily B member 4	Approved	MDR2, PFIC-3, GBD1	5244	P21439
HGNC:46	ABCB5	ATP binding cassette subfamily B member 5	Approved	EST422562, ABCB5beta, ABCB5alpha	340273	Q2M3G0
HGNC:47	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	Approved	EST45597, umat, MTABC3	10058	Q9NP58
HGNC:48	ABCB7	ATP binding cassette subfamily B member 7	Approved	EST140535, Atm1p, ASAT	22	O75027
HGNC:49	ABCB8	ATP binding cassette subfamily B member 8	Approved	EST328128, M-ABC1, MABC1	11194	Q9NUT2
HGNC:50	ABCB9	ATP binding cassette subfamily B member 9	Approved	EST122234	23457	Q9NP78
HGNC:41	ABCB10	ATP binding cassette subfamily B member 10	Approved	EST20237, M-ABC2, MTABC2	23456	Q9NRK6
HGNC:14114	ABCB10P1	ATP binding cassette subfamily B member 10 pseudogene 1	Approved	M-ABC2, MABC2	56476	
HGNC:31128	ABCB10P2~withdrawn	symbol withdrawn, see ABCB10P1	Symbol Withdrawn			
HGNC:31129	ABCB10P3	ATP binding cassette subfamily B member 10 pseudogene 3	Approved		728248	
HGNC:31130	ABCB10P4	ATP binding cassette subfamily B member 10 pseudogene 4	Approved		100132289	
HGNC:42	ABCB11	ATP binding cassette subfamily B member 11	Approved	ABC16, SPGP, PFIC-2, PGY4	8647	O95342
HGNC:51	ABCC1	ATP binding cassette subfamily C member 1	Approved	GS-X	4363	P33527
HGNC:53	ABCC2	ATP binding cassette subfamily C member 2	Approved	DJS, MRP2, cMRP	1244	Q92887
HGNC:54	ABCC3	ATP binding cassette subfamily C member 3	Approved	MRP3, cMOAT2, EST90757, MLP2, MOAT-D	8714	O15438
HGNC:55	ABCC4	ATP binding cassette subfamily C member 4	Approved	MRP4, EST170205, MOAT-B, MOATB	10257	O15439
HGNC:56	ABCC5	ATP binding cassette subfamily C member 5	Approved	MRP5, SMRP, EST277145, MOAT-C	10057	O15440
HGNC:40055	ABCC5-AS1	ABCC5 antisense RNA 1	Approved		100873982	
HGNC:57	ABCC6	ATP binding cassette subfamily C member 6	Approved	MRP6, EST349056, MLP1, URG7	368	O95255
HGNC:33352	ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1	Approved		653190	
HGNC:33353	ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2	Approved		730013	
HGNC:58	ABCC7~withdrawn	symbol withdrawn, see CFTR	Symbol Withdrawn			
HGNC:59	ABCC8	ATP binding cassette subfamily C member 8	Approved	HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2	6833	Q09428
HGNC:60	ABCC9	ATP binding cassette subfamily C member 9	Approved	SUR2, CMD1O	10060	O60706
HGNC:52	ABCC10	ATP binding cassette subfamily C member 10	Approved	EST182763, MRP7, SIMRP7	89845	Q5T3U5
HGNC:14639	ABCC11	ATP binding cassette subfamily C member 11	Approved	MRP8	85320	Q96J66
HGNC:14640	ABCC12	ATP binding cassette subfamily C member 12	Approved	MRP9	94160	Q96J65
HGNC:16022	ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)	Approved	PRED6, C21orf73, ABCC13P	150000	Q9NSE7
HGNC:61	ABCD1	ATP binding cassette subfamily D member 1	Approved	AMN, ALDP, adrenoleukodystrophy	215	P33897
HGNC:62	ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1	Approved		23785	
HGNC:63	ABCD1P2	ATP binding cassette subfamily D member 1 pseudogene 2	Approved	bA453N3.6	26983	
HGNC:64	ABCD1P3	ATP binding cassette subfamily D member 1 pseudogene 3	Approved		26982	
HGNC:65	ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4	Approved		26957	
HGNC:42662	ABCD1P5	ATP binding cassette subfamily D member 1 pseudogene 5	Approved		642762	
HGNC:66	ABCD2	ATP binding cassette subfamily D member 2	Approved	ALDR, ALDRP	225	Q9UBJ2
HGNC:67	ABCD3	ATP binding cassette subfamily D member 3	Approved	PMP70, ZWS2	5825	P28288
HGNC:68	ABCD4	ATP binding cassette subfamily D member 4	Approved	PMP69, P70R, EST352188	5826	O14678
HGNC:69	ABCE1	ATP binding cassette subfamily E member 1	Approved	RLI, OABP, RLI1	6059	P61221
HGNC:70	ABCF1	ATP binding cassette subfamily F member 1	Approved	EST123147	23	Q8NE71
HGNC:71	ABCF2	ATP binding cassette subfamily F member 2	Approved	EST133090, ABC28, M-ABC1, HUSSY-18	10061	Q9UG63
HGNC:48841	ABCF2P1	ATP binding cassette subfamily F member 2 pseudogene 1	Approved		344653	
HGNC:48842	ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2	Approved		100422059	
HGNC:72	ABCF3	ATP binding cassette subfamily F member 3	Approved	EST201864	55324	Q9NUQ8
HGNC:73	ABCG1	ATP binding cassette subfamily G member 1	Approved	ABC8	9619	P45844
HGNC:74	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	Approved	EST157481, MXR, BCRP, ABCP, CD338	9429	Q9UNQ0
HGNC:13884	ABCG4	ATP binding cassette subfamily G member 4	Approved	WHITE2	64137	Q9H172
HGNC:13886	ABCG5	ATP binding cassette subfamily G member 5	Approved	STSL	64240	Q9H222
HGNC:13887	ABCG8	ATP binding cassette subfamily G member 8	Approved	GBD4	64241	Q9H221
HGNC:75	ABCR~withdrawn	symbol withdrawn, see ABCA4	Symbol Withdrawn			
HGNC:17553	ABHD1	abhydrolase domain containing 1	Approved	LABH1, FLJ36128	84696	Q96SE0
HGNC:18717	ABHD2	abhydrolase domain containing 2	Approved	LABH2	11057	P08910
HGNC:18718	ABHD3	abhydrolase domain containing 3	Approved	LABH3	171586	Q8WU67
HGNC:20154	ABHD4	abhydrolase domain containing 4	Approved	FLJ12816	63874	Q8TB40
HGNC:21396	ABHD5	abhydrolase domain containing 5	Approved	CGI-58, NCIE2	51099	Q8WTS1
HGNC:21398	ABHD6	abhydrolase domain containing 6	Approved		57406	Q9BV23
HGNC:23759	ABHD8	abhydrolase domain containing 8	Approved	FLJ11743, MGC14280, MGC2512	79575	Q96I13
HGNC:25656	ABHD10	abhydrolase domain containing 10	Approved	FLJ11342	55347	Q9NUJ1
HGNC:16407	ABHD11	abhydrolase domain containing 11	Approved	PP1226	83451	Q8NFV4
HGNC:18289	ABHD11-AS1	ABHD11 antisense RNA 1 (tail to tail)	Approved	NCRNA00035	171022	
HGNC:40012	ABHD11-AS2~withdrawn	entry withdrawn	Entry Withdrawn			
HGNC:15868	ABHD12	abhydrolase domain containing 12	Approved	DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A	26090	Q8N2K0
HGNC:19837	ABHD12B	abhydrolase domain containing 12B	Approved	BEM46L3	145447	Q7Z5M8
HGNC:20293	ABHD13	abhydrolase domain containing 13	Approved	bA153I24.2, FLJ14906, BEM46L1	84945	Q7L211
HGNC:24538	ABHD14A	abhydrolase domain containing 14A	Approved	DKFZP564O243, DORZ1	25864	Q9BUJ0
HGNC:38856	ABHD14A-ACY1	ABHD14A-ACY1 readthrough	Approved		100526760	
HGNC:28235	ABHD14B	abhydrolase domain containing 14B	Approved	MGC15429, CIB	84836	Q96IU4
HGNC:26971	ABHD15	abhydrolase domain containing 15	Approved		116236	Q6UXT9
HGNC:49685	ABHD15-AS1	ABHD15 antisense RNA 1	Approved	linc-TP53I13, lnc-TP53I13	104355133	
HGNC:13921	ABHD16A	abhydrolase domain containing 16A	Approved	NG26, D6S82E	7920	O95870
HGNC:16128	ABHD16B	abhydrolase domain containing 16B	Approved	dJ591C20.1	140701	Q9H3Z7
HGNC:28756	ABHD17A	abhydrolase domain containing 17A	Approved	MGC5244	81926	Q96GS6
HGNC:28394	ABHD17AP1	abhydrolase domain containing 17A pseudogene 1	Approved	C1orf47	728917	
HGNC:33538	ABHD17AP2~withdrawn	symbol withdrawn, see ABHD17AP1	Symbol Withdrawn			
HGNC:34041	ABHD17AP3	abhydrolase domain containing 17A pseudogene 3	Approved		648359	
HGNC:34042	ABHD17AP4	abhydrolase domain containing 17A pseudogene P4	Approved		729495	
HGNC:34043	ABHD17AP5	abhydrolase domain containing 17A pseudogene 5	Approved		91219	
HGNC:34044	ABHD17AP6	abhydrolase domain containing 17A pseudogene 6	Approved		644988	
HGNC:38508	ABHD17AP7	abhydrolase domain containing 17A pseudogene 7	Approved		100133212	
HGNC:38509	ABHD17AP8	abhydrolase domain containing 17A pseudogene 8	Approved		647144	
HGNC:38510	ABHD17AP9	abhydrolase domain containing 17A pseudogene 9	Approved		100132251	
HGNC:24278	ABHD17B	abhydrolase domain containing 17B	Approved	CGI-67	51104	Q5VST6
HGNC:26925	ABHD17C	abhydrolase domain containing 17C	Approved		58489	Q6PCB6
HGNC:26111	ABHD18	abhydrolase domain containing 18	Approved	FLJ21106	80167	Q0P651
HGNC:11320	ABI1	abl interactor 1	Approved	E3B1, ABI-1	10006	Q8IZP0
HGNC:20035	ABI1P1	abl interactor 1 pseudogene 1	Approved		326268	
HGNC:24011	ABI2	abl interactor 2	Approved	ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2	10152	Q9NYB9
HGNC:29859	ABI3	ABI family member 3	Approved	NESH, SSH3BP3	51225	Q9P2A4
HGNC:17265	ABI3BP	ABI family member 3 binding protein	Approved	NESHBP, DKFZP586L2024, TARSH	25890	Q7Z7G0
HGNC:76	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	Approved	JTK7, c-ABL, p150	25	P00519
HGNC:77	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	Approved	ARG	27	P42684
HGNC:78	ABLIM1	actin binding LIM protein 1	Approved	abLIM, limatin	3983	O14639
HGNC:19195	ABLIM2	actin binding LIM protein family member 2	Approved	KIAA1808	84448	Q6H8Q1
HGNC:29132	ABLIM3	actin binding LIM protein family member 3	Approved	KIAA0843	22885	O94929
HGNC:79	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	Approved	A3GALNT, A3GALT1	28	P16442
HGNC:81	ABR	active BCR-related	Approved	MDB	29	Q12979
HGNC:30655	ABRA	actin binding Rho activating protein	Approved	STARS	137735	Q8N0Z2
HGNC:21230	ABRACL	ABRA C-terminal like	Approved	PRO2013, HSPC280, Costars	58527	Q9P1F3
HGNC:17369	ABT1	activator of basal transcription 1	Approved		29777	Q9ULW3
HGNC:39557	ABT1P1	activator of basal transcription 1 pseudogene 1	Approved		100420695	
HGNC:18275	ABTB1	ankyrin repeat and BTB domain containing 1	Approved	BPOZ, EF1ABP, Btb3, BTBD21	80325	Q969K4
HGNC:23842	ABTB2	ankyrin repeat and BTB domain containing 2	Approved	DKFZP586C1619, BTBD22, ABTB2A	25841	Q8N961
HGNC:82	ACAA1	acetyl-CoA acyltransferase 1	Approved		30	P09110
HGNC:83	ACAA2	acetyl-CoA acyltransferase 2	Approved	DSAEC	10449	P42765
HGNC:84	ACACA	acetyl-CoA carboxylase alpha	Approved	ACC1	31	Q13085
HGNC:85	ACACB	acetyl-CoA carboxylase beta	Approved	HACC275, ACC2, ACCB	32	O00763
HGNC:87	ACAD8	acyl-CoA dehydrogenase family member 8	Approved		27034	Q9UKU7
HGNC:21497	ACAD9	acyl-CoA dehydrogenase family member 9	Approved	NPD002, MGC14452	28976	Q9H845
HGNC:21597	ACAD10	acyl-CoA dehydrogenase family member 10	Approved	MGC5601	80724	Q6JQN1
HGNC:30211	ACAD11	acyl-CoA dehydrogenase family member 11	Approved	FLJ12592	84129	Q709F0
HGNC:88	ACADL	acyl-CoA dehydrogenase, long chain	Approved	LCAD, ACAD4	33	P28330
HGNC:89	ACADM	acyl-CoA dehydrogenase, C-4 to C-12 straight chain	Approved	MCAD, MCADH, ACAD1	34	P11310
HGNC:90	ACADS	acyl-CoA dehydrogenase, C-2 to C-3 short chain	Approved	SCAD, ACAD3	35	P16219
HGNC:91	ACADSB	acyl-CoA dehydrogenase, short/branched chain	Approved	SBCAD, ACAD7	36	P45954
HGNC:92	ACADVL	acyl-CoA dehydrogenase, very long chain	Approved	VLCAD, LCACD, ACAD6	37	P49748
HGNC:86	ACAD~withdrawn	entry withdrawn	Entry Withdrawn			
HGNC:319	ACAN	aggrecan	Approved	CSPGCP	176	P16112
HGNC:16467	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	Approved	KIAA0050	9744	Q15027
HGNC:16469	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	Approved	KIAA0041, CNT-B2	23527	Q15057
HGNC:41426	ACAP2-IT1	ACAP2 intronic transcript 1	Approved		100874306	
HGNC:16754	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	Approved	KIAA1716	116983	Q96P50
HGNC:93	ACAT1	acetyl-CoA acetyltransferase 1	Approved	THIL	38	P24752
HGNC:94	ACAT2	acetyl-CoA acetyltransferase 2	Approved		39	Q9BWD1
HGNC:15453	ACBD3	acyl-CoA binding domain containing 3	Approved	GCP60, PAP7	64746	Q9H3P7
HGNC:23337	ACBD4	acyl-CoA binding domain containing 4	Approved	FLJ13322	79777	Q8NC06
HGNC:23338	ACBD5	acyl-CoA binding domain containing 5	Approved	DKFZp434A2417, KIAA1996	91452	Q5T8D3
HGNC:23339	ACBD6	acyl-CoA binding domain containing 6	Approved	MGC2404	84320	Q9BR61
HGNC:17715	ACBD7	acyl-CoA binding domain containing 7	Approved	FLJ38219, bA455B2.2	414149	Q8N6N7
HGNC:96	ACBP~withdrawn	symbol withdrawn, see CPN2	Symbol Withdrawn			
HGNC:98	ACCN~withdrawn	symbol withdrawn, see ASIC2	Symbol Withdrawn			
HGNC:14594	ACCPN~withdrawn	symbol withdrawn, see SLC12A6	Symbol Withdrawn			
HGNC:23989	ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	Approved	PHACS, ACS	84680	Q96QU6
HGNC:34391	ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	Approved		390110	Q4AC99
HGNC:97	ACC~withdrawn	symbol withdrawn, see ACACA	Symbol Withdrawn			
HGNC:25070	ACD	adrenocortical dysplasia homolog	Approved	Ptop, Pip1, Tpp1, Tint1	65057	Q96AP0
HGNC:2707	ACE	angiotensin I converting enzyme	Approved	ACE1, CD143	1636	P12821
HGNC:13557	ACE2	angiotensin I converting enzyme 2	Approved		59272	Q9BYF1
HGNC:44365	ACE3P	angiotensin I converting enzyme 3, pseudogene	Approved		100129123	
HGNC:18356	ACER1	alkaline ceramidase 1	Approved		125981	Q8TDN7
HGNC:23675	ACER2	alkaline ceramidase 2	Approved	FLJ41587, ALKCDase2	340485	Q5QJU3
HGNC:16066	ACER3	alkaline ceramidase 3	Approved	FLJ11238, APHC	55331	Q9NUN7
HGNC:107	ACHAP~withdrawn	symbol withdrawn, see CUTA	Symbol Withdrawn			
HGNC:108	ACHE	acetylcholinesterase (Cartwright blood group)	Approved		43	P22303
HGNC:109	ACHM1~withdrawn	symbol withdrawn, see CNGB3	Symbol Withdrawn			
HGNC:110	ACHM2~withdrawn	symbol withdrawn, see CNGA3	Symbol Withdrawn			
HGNC:111	ACHM3~withdrawn	symbol withdrawn, see CNGB3	Symbol Withdrawn			
HGNC:112	ACHRD~withdrawn	symbol withdrawn, see CHRND	Symbol Withdrawn			
HGNC:113	ACHRG~withdrawn	symbol withdrawn, see CHRNG	Symbol Withdrawn			
HGNC:106	ACH~withdrawn	symbol withdrawn, see FGFR3	Symbol Withdrawn			
HGNC:17066	ACIN1	apoptotic chromatin condensation inducer 1	Approved	KIAA0670, fSAP152	22985	Q9UKV3
HGNC:4035	ACKR1	atypical chemokine receptor 1 (Duffy blood group)	Approved	CCBP1, GPD, Dfy, CD234	2532	Q16570
HGNC:1565	ACKR2	atypical chemokine receptor 2	Approved	CCR10, D6, CCR9	1238	O00590
HGNC:23692	ACKR3	atypical chemokine receptor 3	Approved	RDC1, GPR159	57007	P25106
HGNC:1611	ACKR4	atypical chemokine receptor 4	Approved	CCR11, CCBP2, VSHK1, CCX-CKR, PPR1	51554	Q9NPB9
HGNC:114	ACLS	acrocallosal syndrome	Approved		46	
HGNC:115	ACLY	ATP citrate lyase	Approved	ATPCL, CLATP, ACL	47	P53396
HGNC:116	ACMG~withdrawn	entry withdrawn	Entry Withdrawn			
HGNC:19288	ACMSD	aminocarboxymuconate semialdehyde decarboxylase	Approved		130013	Q8TDX5
HGNC:117	ACO1	aconitase 1	Approved	IRP1, IREBP	48	P21399
HGNC:118	ACO2	aconitase 2	Approved	ACONM	50	Q99798
HGNC:33904	ACOD1	aconitate decarboxylase 1	Approved	CAD	730249	A6NK06
HGNC:33128	ACOT1	acyl-CoA thioesterase 1	Approved	ACH2, CTE-1, LACH2	641371	Q86TX2
HGNC:18431	ACOT2	acyl-CoA thioesterase 2	Approved	Mte1, ZAP128	10965	P49753
HGNC:19748	ACOT4	acyl-CoA thioesterase 4	Approved	FLJ31235, PTE-Ib, PTE2B	122970	Q8N9L9
HGNC:33159	ACOT6	acyl-CoA thioesterase 6	Approved		641372	Q3I5F7
HGNC:24157	ACOT7	acyl-CoA thioesterase 7	Approved	BACH, ACH1, ACT, CTE-II, LACH1, MGC1126, hBACH	11332	O00154
HGNC:15919	ACOT8	acyl-CoA thioesterase 8	Approved	hACTE-III, hTE, PTE-2, NAP1	10005	O14734
HGNC:17152	ACOT9	acyl-CoA thioesterase 9	Approved	CGI-16, MT-ACT48, ACATE2	23597	Q9Y305
HGNC:18156	ACOT11	acyl-CoA thioesterase 11	Approved	STARD14, BFIT, KIAA0707, BFIT1, THEM1	26027	Q8WXI4
HGNC:24436	ACOT12	acyl-CoA thioesterase 12	Approved	Cach, THEAL, STARD15	134526	Q8WYK0
HGNC:20999	ACOT13	acyl-CoA thioesterase 13	Approved	HT012	55856	Q9NPJ3
HGNC:119	ACOX1	acyl-CoA oxidase 1	Approved	PALMCOX	51	Q15067
HGNC:120	ACOX2	acyl-CoA oxidase 2	Approved	BRCACOX, BRCOX, THCCox	8309	Q99424
HGNC:121	ACOX3	acyl-CoA oxidase 3, pristanoyl	Approved		8310	O15254
HGNC:25621	ACOXL	acyl-CoA oxidase-like	Approved	FLJ11042	55289	Q9NUZ1
HGNC:122	ACP1	acid phosphatase 1, soluble	Approved	HAAP, LMW-PTP	52	P24666
HGNC:123	ACP2	acid phosphatase 2, lysosomal	Approved	LAP	53	P11117
HGNC:124	ACP5	acid phosphatase 5, tartrate resistant	Approved	TRAP, HPAP	54	P13686
HGNC:29609	ACP6	acid phosphatase 6, lysophosphatidic	Approved	LPAP, ACPL1	51205	Q9NPH0
HGNC:33781	ACP7	acid phosphatase 7, tartrate resistant (putative)	Approved	FLJ16165, PAPL1	390928	Q6ZNF0
HGNC:125	ACPP	acid phosphatase, prostate	Approved	ACP3, ACP-3, PAP	55	P15309
HGNC:14376	ACPT	acid phosphatase, testicular	Approved		93650	Q9BZG2
HGNC:126	ACR	acrosin	Approved		49	P10323
HGNC:17195	ACRBP	acrosin binding protein	Approved	SP32, OY-TES-1, CT23	84519	Q8NEB7
HGNC:127	ACRV1	acrosomal vesicle protein 1	Approved	SPACA2, SP-10, D11S4365	56	P26436
HGNC:128	ACS3~withdrawn	symbol withdrawn, see TWIST1	Symbol Withdrawn			
HGNC:29567	ACSBG1	acyl-CoA synthetase bubblegum family member 1	Approved	BGM, FLJ30320, MGC14352, BG1, KIAA0631, hBG1, hsBG	23205	Q96GR2
HGNC:24174	ACSBG2	acyl-CoA synthetase bubblegum family member 2	Approved	BGR, PRTD-NY3, DKFZp434K1635	81616	Q5FVE4
HGNC:26101	ACSF2	acyl-CoA synthetase family member 2	Approved	FLJ20920, ACSMW	80221	Q96CM8
